以,a
雹,bhwb
辫,bhx
辫,bhxh
吧,bi
嘣,bi
蹦,bi
跋,bia
跋,bial
啵,bid
啵,bidn
啵,bidz
哺,bif
哺,bifk
卟,bij
卟,bijj
叭,bim
叭,bimm
跛,bin
跛,binl
呗,bio
蹦,bio
嘣,bio
呗,bioj
呗,biok
蹦,biov
嘣,biov
哔,bis
吡,bis
跸,bis
跸,bisf
哔,bisf
别,biu
别,biuu
鄙,biv
吧,biv
吧,bivc
鄙,bivv
跛,biz
跛,bizl
便,bj
煲,bj
卜,bj
佰,bja
佰,bjar
佰,bjd
佰,bjdr
闭,bjf
便,bjf
闭,bjfe
便,bjfk
倍,bjh
傍,bjh
傍,bjhh
倍,bjhi
保,bji
保,bjic
卜,bjj
卜,bjjj
伴,bjm
煲,bjm
伴,bjmi
煲,bjmm
傧,bjn
傧,bjnr
伯,bjr
俾,bjr
伯,bjrd
俾,bjrf
堡,bju
堡,bjuu
把,bk
彼,bk
扮,bk
拔,bka
拔,bkal
摒,bkb
摒,bkbm
搏,bkf
捕,bkf
搏,bkff
捕,bkfk
拜,bkg
拜,bkgg
捌,bki
捌,bkiu
播,bkm
扮,bkm
扒,bkm
拌,bkmi
掰,bkmk
扒,bkmm
扮,bkmn
播,bkmo
扮,bkmz
拨,bkn
彼,bkn
摈,bkn
彼,bknl
拨,bknl
摈,bknr
摆,bko
摆,bkou
搬,bkq
扳,bkq
扳,bkql
搬,bkqw
捭,bkr
捭,bkrf
报,bkv
把,bkv
把,bkvc
报,bkvl
抱,bkw
抱,bkwb
拨,bkz
彼,bkz
彼,bkzl
拨,bkzl
被,bl
必,bl
畚,bla
弁,bla
弁,blai
畚,blao
裱,blg
裱,blgw
谤,blh
谤,blhh
补,blj
褓,blj
褓,blji
补,bljj
必,blk
必,blkk
褊,bll
褊,bllo
遍,bln
被,bln
被,blnl
遍,blnn
扁,blo
扁,bloi
裨,blr
被,blz
被,blzl
八,bm
蹩,bm
煸,bm
弊,bma
颁,bma
弊,bmai
颁,bmaj
炳,bmf
炳,bmfk
并,bmg
并,bmgi
焙,bmh
焙,bmhi
半,bmi
蹩,bmi
半,bmii
蹩,bmiy
憋,bml
煸,bml
憋,bmlk
煸,bmlo
八,bmm
八,bmmm
迸,bmn
迸,bmnn
爆,bmr
爆,bmrf
敝,bmt
敝,bmtk
爸,bmv
粑,bmv
粑,bmvc
爸,bmvc
豹,bmw
鳖,bmw
炮,bmw
炮,bmwb
鳖,bmwd
豹,bmwk
鳖,bmwo
边,bn
办,bn
怖,bna
怖,bnao
窆,bne
窆,bnel
悖,bnf
悖,bnfv
宝,bng
宝,bngk
办,bnk
办,bnkk
办,bnm
办,bnmm
边,bnn
边,bnnn
宾,bnr
宾,bnrm
愎,bnt
愎,bntr
愎,bntw
败,bo
贝,bo
畀,boa
畀,boai
贬,boe
贬,boel
蚌,bog
蚌,bogi
贝,boj
贝,bojj
贝,bok
贝,bokk
蝙,bol
蝙,bolo
髌,bon
髌,bonr
髀,bor
睥,bor
睥,borf
髀,borf
败,bot
败,botk
罢,bou
罢,boul
崩,bov
崩,bovv
般,bq
舨,bqq
舨,bqql
舶,bqr
舶,bqrd
般,bqw
般,bqwl
白,br
版,br
魃,bra
魃,bral
白,brd
白,brdd
暴,brf
卑,brf
卑,brff
暴,brfj
币,bri
币,brii
兵,brm
兵,brmm
鼻,bro
帛,bro
鼻,broa
帛,broi
版,brq
版,brql
曝,brr
曝,brrf
比,bs
毕,bs
毙,bsa
毙,bsaw
毕,bsf
毕,bsff
婊,bsg
婊,bsgw
匾,bsl
毖,bsl
毖,bslk
匾,bslo
婢,bsr
婢,bsrf
比,bsw
比,bsww
笔,bt
笨,bt
簿,btd
箔,btd
簿,btdf
箔,btdr
笨,btf
簸,btf
笨,btfd
簸,btfn
簸,btfz
拜,btg
拜,btgi
秉,btk
秉,btkk
秘,btl
秘,btlk
掰,btm
掰,btmk
笾,btn
笾,btnn
篦,btr
稗,btr
稗,btrf
篦,btrs
笔,btt
笔,bttc
笆,btv
笆,btvc
笾,btz
笾,btzn
坝,bu
坝,buo
坝,buoj
坝,buok
坂,buq
坂,buql
埠,bur
埠,buri
巴,bv
脖,bv
胞,bv
巴,bvc
巴,bvcc
脖,bvf
膘,bvf
膊,bvf
膊,bvff
膘,bvfg
脖,bvfv
膀,bvh
膀,bvhh
膑,bvn
陂,bvn
陂,bvnl
膑,bvnr
阪,bvq
阪,bvql
陛,bvs
陛,bvsu
孢,bvw
胞,bvw
孢,bvwb
胞,bvwb
陂,bvz
陂,bvzl
包,bw
匕,bw
鲍,bw
鲅,bwa
鲅,bwal
包,bwb
包,bwbc
鳔,bwf
饽,bwf
鳔,bwfg
饽,bwfv
惫,bwl
鳊,bwl
鳊,bwlo
饼,bwm
飚,bwm
饼,bwmg
飚,bwmm
备,bwo
狈,bwo
惫,bwo
备,bwod
狈,bwoj
狈,bwok
惫,bwol
刨,bwu
刨,bwuu
饱,bww
匕,bww
鸨,bww
鲍,bwwb
饱,bwwb
鸨,bwwd
匕,bwww
编,bx
驳,bx
骠,bxfg
绑,bxg
绑,bxgv
编,bxl
编,bxlo
绊,bxm
驳,bxm
绊,bxmi
驳,bxmm
缤,bxn
缤,bxnr
绷,bxv
绷,bxvv
北,by
镖,by
步,by
钹,bya
钚,bya
锛,byaa
锛,byaf
钚,byak
钹,byal
步,bye
步,byee
钵,byf
镖,byf
钵,byfd
镖,byfg
镑,byh
镳,byh
镑,byhh
镳,byhm
悲,byl
铋,byl
铋,bylk
悲,bylk
钡,byo
钡,byoj
钡,byok
步,byp
步,bype
彪,byq
钣,byq
彪,byqe
钣,byql
铂,byr
铂,byrd
辈,bys
辈,bysi
背,byv
钯,byv
钯,byvc
钯,byvv
背,byvv
北,byw
龅,byw
龅,bywb
北,byww
边,bz
办,bz
办,bzk
办,bzkk
办,bzm
办,bzmm
边,bzn
边,bznn
成,c
重,c
厂,ca
辰,ca
础,ca
厂,caa
厂,caaa
碴,cac
碴,cacr
厨,cad
厨,cadf
厝,caf
厝,cafr
残,cag
辰,cag
辰,cagk
残,cagk
唇,cai
蹙,cai
唇,caii
蹙,caiy
成,cakk
碜,cal
碜,cala
碜,calq
磁,cam
磋,cam
磋,camf
磁,camx
盛,cao
厕,cao
厕,caou
砗,cas
砗,casi
存,cav
础,cav
存,cavd
础,cavi
层,cb
层,cbg
层,cbgl
尺,cbk
尺,cbkk
羼,cbm
羼,cbmm
迟,cbn
迟,cbnn
弛,cbv
孱,cbv
弛,cbvc
孱,cbvv
查,cc
村,cc
槽,cc
橱,cca
橱,ccad
楂,ccc
郴,ccc
楂,cccr
郴,cccv
材,ccf
村,ccf
槽,ccf
材,ccfe
村,ccfk
槽,ccfr
楮,ccfr
椿,ccg
椿,ccgr
榇,cch
樗,cch
榱,cch
榇,cchf
樗,cchg
榱,ccho
榱,cchw
椎,ccj
枞,ccj
椎,ccjh
枞,ccjj
橙,ccl
杈,ccl
橙,ccld
杈,cclk
槎,ccm
槎,ccmf
槌,ccr
查,ccr
查,ccrd
槌,ccrn
杵,cct
杵,cctf
杵,ccti
楚,ccv
楚,ccvk
椽,ccx
椽,ccxk
椽,ccxw
沉,cd
潺,cdb
潺,cdbv
潮,cdf
豉,cdf
漕,cdf
豉,cdfl
漕,cdfr
潮,cdfv
淬,cdh
淳,cdh
澈,cdh
淬,cdhf
淳,cdhi
澶,cdho
澶,cdhr
澈,cdht
淳,cdhv
沧,cdj
沧,cdjx
澄,cdl
沈,cdl
汊,cdl
沈,cdlc
澄,cdld
汊,cdlk
沉,cdlw
淙,cdn
淙,cdng
测,cdo
涔,cdo
涔,cdoj
测,cdou
池,cdv
滁,cdv
池,cdvc
滁,cdvj
茶,ce
蔡,ce
茬,ce
藏,cea
茬,cea
藏,ceaf
藏,ceas
茬,ceau
萃,ceh
茨,ceh
萃,cehh
茨,cehw
苍,cej
苁,cej
茶,cejc
苁,cejj
苍,cejx
菜,cem
荽,cem
菜,cemc
荽,cems
草,cer
菖,cer
草,cerf
菖,cerr
苌,cet
苌,cetk
葱,cew
蔡,cew
蔡,cewg
葱,cewl
莼,cex
莼,cexs
才,cf
酬,cf
臣,cf
臣,cfc
臣,cfcc
才,cfe
才,cfee
醋,cff
矗,cff
矗,cfff
醋,cffr
裁,cfh
醇,cfh
醇,cfhi
裁,cfhk
醇,cfhv
裁,cfhw
寸,cfk
寸,cfkk
翅,cfl
翅,cfll
聪,cfm
酬,cfm
酬,cfmi
聪,cfml
曹,cfr
曹,cfrr
敕,cft
酢,cft
敕,cftm
刺,cfu
刺,cfuu
朝,cfv
朝,cfvv
耻,cfy
耻,cfyd
春,cg
琛,cgl
琛,cglc
琮,cgn
琮,cgng
蠢,cgo
蚕,cgo
璀,cgo
璀,cgoj
蚕,cgok
蠢,cgoo
舂,cgr
舂,cgrd
璨,cgy
璨,cgym
次,ch
颤,ch
颤,cha
颤,chaj
床,chc
床,chcc
产,che
产,chee
凑,chg
瘛,chg
凑,chgg
瘁,chh
瘁,chhf
啻,chi
啻,chii
疮,chj
卒,chj
痤,chj
卒,chjf
痤,chju
冲,cho
畜,cho
廛,cho
畜,chod
冲,choi
廛,chou
衰,chow
瓷,chs
瓷,chsk
痴,cht
痴,chti
充,chw
次,chw
鹑,chw
鹑,chwd
次,chwk
充,chwm
疵,chy
疵,chyw
吃,ci
喘,ci
蹭,ci
蹰,cia
蹰,ciad
喳,cic
喳,cicr
躇,cie
躇,cief
嗔,cif
嘲,cif
嘈,cif
嗔,cifm
嘈,cifr
嘲,cifv
呈,cig
踌,cig
呈,cigd
踌,cigf
啐,cih
蹴,cih
蹴,ciha
啐,cihj
啜,cil
啜,cill
蹭,cim
踩,cim
噌,cim
踩,cimc
蹉,cimf
噌,cimr
蹭,cimr
蹿,cin
逞,cin
嚓,cin
逞,cinn
蹿,cino
嚓,cinw
踹,cio
喘,cio
喘,cioa
踹,cioa
吵,cip
吵,cipe
唱,cir
嘬,cir
嘬,cirf
唱,cirr
踟,cit
吃,cit
吃,citc
踟,citi
哧,ciu
哧,cium
哧,ciur
嗤,civ
嗤,civo
吹,ciw
叱,ciw
吹,ciwk
叱,ciww
呲,ciy
踔,ciy
踔,ciyr
从,cj
侧,cj
催,cj
伺,cjb
伺,cjc
伺,cjcd
丛,cjd
丛,cjdd
传,cjg
俦,cjg
尝,cjg
俦,cjgf
传,cjgk
尝,cjgl
裳,cjh
隹,cjh
侪,cjh
裳,cjhk
侪,cjhr
裳,cjhw
促,cji
促,cjiy
偿,cjj
伧,cjj
倘,cjj
偿,cjjg
倘,cjji
从,cjjj
伧,cjjx
储,cjl
雠,cjl
储,cjlf
雠,cjlj
阐,cjm
阐,cjmo
常,cjo
催,cjo
侧,cjo
常,cjoi
催,cjoj
侧,cjou
倡,cjr
阊,cjr
阊,cjrr
倡,cjrr
敞,cjt
氅,cjt
伥,cjt
氅,cjtc
伥,cjtk
敞,cjtm
创,cju
创,cjuu
仇,cjw
侈,cjw
侈,cjww
仇,cjww
闯,cjx
仓,cjx
闯,cjxd
仓,cjxx
抽,ck
揣,ck
挫,ck
搽,cke
搽,ckej
措,ckf
措,ckfr
撤,ckh
搐,ckh
搐,ckho
撤,ckht
操,cki
操,ckic
撑,ckj
挫,ckj
徜,ckj
徜,ckji
撑,ckjk
徜,ckjo
挫,ckju
掺,ckl
惩,ckl
惩,cklk
搓,ckm
搓,ckmf
擦,ckn
撺,ckn
撺,ckno
擦,cknw
抻,cko
揣,cko
摧,cko
揣,ckoa
抽,ckod
抻,ckoi
摧,ckoj
抄,ckp
抄,ckpe
拆,ckq
拆,ckqk
撮,ckr
撮,ckrf
彻,cks
彻,cksn
彻,cksz
插,ckt
捶,ckt
攒,ckt
捶,cktd
插,cktd
攒,ckto
持,cku
持,ckuf
搀,ckw
搀,ckwn
扯,cky
扯,ckyd
初,cl
诚,cl
祠,cl
参,cla
诚,cla
诚,clak
参,claq
词,clb
祠,clb
祠,clbi
词,clbi
词,clc
祠,clc
祠,clcd
词,clcd
衬,clf
褚,clf
谌,clf
衬,clfk
谌,clfm
褚,clfr
翠,clh
翠,clhf
裎,cli
裎,clig
谶,clj
谶,cljs
谶,cljy
叉,clk
叉,clkk
衩,cll
衩,cllk
禅,clm
禅,clmo
诧,cln
皴,cln
初,cln
皴,clnl
初,clnn
诧,clnt
参,clq
褫,clq
参,clqe
褫,clqy
昶,clr
昶,clrr
戳,cls
戳,clsk
谗,clw
谄,clw
谗,clwn
谄,clwr
初,clz
皴,clz
皴,clzl
初,clzz
粗,cm
单,cm
曾,cm
采,cmc
采,cmcc
差,cmf
豺,cmf
差,cmfd
豺,cmfe
粹,cmh
粹,cmhf
炽,cmi
炽,cmim
慈,cml
慈,cmlk
灿,cmo
单,cmo
岔,cmo
粗,cmod
岔,cmoi
单,cmoi
灿,cmoi
炒,cmp
炒,cmpe
彩,cmq
彩,cmqe
曾,cmr
曾,cmrr
糙,cmt
糙,cmtn
刹,cmu
刹,cmuu
炊,cmw
鹚,cmw
鬯,cmw
鹚,cmwd
炊,cmwj
鬯,cmww
兹,cmx
兹,cmxx
焯,cmy
焯,cmyf
焯,cmyr
穿,cn
惭,cn
怅,cn
宠,cna
宸,cna
宸,cnag
宠,cnaw
怵,cnc
憷,cnc
怵,cnck
憷,cncv
忖,cnf
忖,cnfk
憧,cnh
悴,cnh
悴,cnhf
悴,cnhj
憧,cnho
怆,cnj
怆,cnjx
惨,cnl
忱,cnl
惨,cnla
忱,cnlc
惨,cnlq
窜,cno
惴,cno
恻,cno
惴,cnoa
忡,cnoi
窜,cnoi
恻,cnou
窗,cnr
窗,cnrk
窗,cnrw
惭,cns
穿,cns
穿,cnse
惭,cnsq
忏,cnt
怅,cnt
忏,cnti
怅,cntk
察,cnw
惆,cnw
察,cnwg
惆,cnwu
财,co
崇,co
瞠,co
财,cof
螬,cof
财,cofe
螬,cofr
畴,cog
蝽,cog
畴,cogf
蝽,cogr
幢,coh
螭,coh
螭,coho
串,coi
串,coii
崔,coj
瞠,coj
岑,coj
岑,cojc
蜍,cojg
崔,cojh
瞠,coji
瞠,coju
虫,cok
虫,cokk
蛏,col
蛏,colu
睬,com
蝉,com
嵯,com
睬,comc
嵯,comf
蝉,como
畅,con
崇,con
遄,con
畅,cone
崇,cong
遄,conn
赐,cor
赐,corw
瞅,cot
瞅,cotm
黜,cov
黜,covi
蟾,cow
蟾,cowh
畅,coz
畅,coze
尘,cp
尘,cpu
尘,cpuu
船,cq
艚,cqf
艚,cqfr
艟,cqh
艟,cqho
舱,cqj
舱,cqjx
斥,cqk
斥,cqkk
船,cqw
船,cqwi
臭,cr
晨,cr
晨,cra
臭,cra
晨,crag
臭,crak
魑,crh
魑,crho
川,cri
川,crii
囱,crk
囱,crkk
晁,crm
晁,crmd
晁,crmn
晁,crmz
昌,crr
昌,crrr
匙,crw
囱,crw
囱,crwk
匙,crww
车,cs
娠,csa
娠,csag
辏,csg
辏,csgg
车,csi
嫦,csj
嫦,csjo
辍,csl
婵,csm
婵,csmo
姹,csn
姹,csnt
虿,cso
虿,csok
娼,csr
娼,csrr
媸,csv
媸,csvo
长,ct
辞,ct
稠,ct
垂,ctd
重,ctd
重,ctdd
垂,ctdd
策,ctf
策,ctfk
筹,ctg
筹,ctgf
秤,cth
辞,cth
簇,cth
辞,cthf
秤,cthi
簇,ctht
程,cti
程,ctig
矬,ctj
矬,ctju
掣,ctk
长,ctk
掣,ctkk
长,ctkk
愁,ctl
笞,ctl
笞,ctli
愁,ctlk
篡,cto
种,cto
篡,ctoa
种,ctoi
篪,ctq
篪,ctqy
氚,ctr
氚,ctri
称,ctw
稠,ctw
称,ctwp
稠,ctwu
乘,cty
乘,ctyw
场,cu
城,cua
城,cuak
墀,cub
墀,cubd
墀,cubt
趁,cuj
趁,cujq
赤,cum
赤,cumm
超,cun
场,cun
场,cune
超,cuni
赤,cur
超,cuz
场,cuz
场,cuze
超,cuzi
出,cv
除,cv
脆,cv
丑,cvd
丞,cvd
丞,cvdd
丑,cvdd
出,cvi
出,cvii
除,cvj
除,cvjg
承,cvk
承,cvkk
肠,cvn
肠,cvne
蚩,cvo
蚩,cvok
陈,cvs
陈,cvsk
陲,cvt
陲,cvtd
脆,cvw
脆,cvwa
脆,cvwx
肠,cvz
肠,cvze
处,cw
刍,cwb
刍,cwbd
馇,cwc
馇,cwcr
册,cwd
册,cwdd
猜,cwg
猜,cwgv
猝,cwh
猝,cwhf
雏,cwj
处,cwj
雏,cwjh
处,cwjj
匆,cwk
匆,cwkk
触,cwo
触,cwok
猖,cwr
猖,cwrr
舛,cws
舛,cwsi
饬,cwt
饬,cwtn
饬,cwtz
馋,cww
鸱,cww
鸱,cwwd
馋,cwwn
纯,cx
缠,cxh
缠,cxho
巢,cxo
骋,cxo
巢,cxok
骋,cxos
纯,cxs
纯,cxsc
剿,cxu
剿,cxuu
驰,cxv
绌,cxv
驰,cxvc
绌,cxvi
绸,cxw
绸,cxwu
绰,cxy
绰,cxyf
绰,cxyr
此,cy
齿,cy
雌,cy
柴,cyc
柴,cycc
错,cyf
错,cyfr
铲,cyh
铳,cyh
铲,cyhe
铳,cyhw
齿,cyi
龊,cyi
齿,cyii
龊,cyiy
餐,cyj
齿,cyj
雌,cyj
铛,cyjb
雌,cyjh
餐,cyjl
锉,cyju
齿,cyjv
钗,cyl
钗,cylk
粲,cym
鹾,cym
鹾,cymf
粲,cymk
锄,cyo
锄,cyon
锄,cyoz
钞,cyp
钞,cype
钏,cyr
钏,cyri
锤,cyt
锸,cyt
锸,cytd
锤,cytd
此,cyw
龀,cyw
龀,cyww
此,cyww
的,d
当,d
大,da
碟,da
耷,da
夺,daf
碟,daf
耷,daf
碟,dafc
耷,dafd
夺,dafk
石,dai
石,daii
碓,daj
碓,dajh
歹,dak
大,dak
歹,dakk
大,dakk
殆,dal
磴,dal
磴,dald
殆,dali
殚,dam
殚,damo
达,dan
碇,dan
砀,dan
砀,dane
碇,danf
达,dann
碘,dao
硐,dao
硐,daod
硐,daoi
碘,daom
碉,daw
砥,daw
砥,dawk
碉,dawu
砀,daz
砀,daze
导,db
刁,dbb
刁,dbbb
导,dbf
导,dbfk
弹,dbm
弹,dbmo
逮,dbn
逮,dbnn
殿,dbw
殿,dbwl
档,dc
棣,dcb
棣,dcbk
档,dcj
档,dcjb
椴,dcr
椴,dcrw
栋,dcs
栋,dcsk
杜,dcu
杜,dcuu
柢,dcw
柢,dcwk
豆,dd
滴,dd
渡,dd
豆,ddd
豆,dddd
滇,ddf
渎,ddf
渎,ddfc
滇,ddfm
渎,ddfn
渡,ddh
滴,ddh
滴,ddhf
渡,ddhl
滴,ddho
豆,ddi
豆,ddim
澄,ddl
澄,ddld
淡,ddm
淡,ddmm
逗,ddn
淀,ddn
淀,ddnf
逗,ddnn
洞,ddo
洞,ddod
洞,ddoi
沓,ddr
沓,ddrr
沌,dds
沌,ddsc
凼,ddv
凼,ddvv
涤,ddw
澹,ddw
涤,ddwc
涤,ddwf
丢,de
荡,ded
荡,dedn
荡,dedz
蒂,deh
蒂,deho
董,det
董,detd
丢,deu
芏,deu
丢,deul
芏,deuu
荻,dew
荻,dewm
都,df
戴,df
颠,df
顶,dfa
鞑,dfa
颠,dfa
颠,dfaj
顶,dfaj
鞑,dfan
丁,dff
酊,dff
酊,dfff
丁,dfff
耽,dfl
耽,dflc
带,dfo
戴,dfo
聃,dfo
聃,dfod
戴,dfof
带,dfoi
蠹,dfoo
靼,dfr
靼,dfrd
都,dfv
都,dfvv
动,dg
玎,dgf
玎,dgff
玳,dgj
玳,dgjs
焘,dgm
焘,dgmm
靛,dgn
动,dgn
靛,dgnf
动,dgnn
毒,dgx
毒,dgxk
玷,dgy
玷,dgyi
动,dgz
动,dgzz
度,dh
盗,dh
帝,dh
癜,dhb
癜,dhbw
痘,dhd
痘,dhdd
瘩,dhe
瘩,dhej
癫,dhf
度,dhf
癫,dhfa
度,dhfl
癫,dhfq
度,dhl
端,dho
盗,dho
帝,dho
端,dhoa
盗,dhod
帝,dhoi
疸,dhr
疸,dhrd
冻,dhs
冻,dhsk
敦,dht
敦,dhtk
底,dhw
凋,dhw
底,dhwk
凋,dhwu
店,dhy
店,dhyi
吨,di
嘟,di
嘀,di
哒,dia
呔,dia
跶,dia
呔,diak
跶,dian
哒,dian
叼,dib
叼,dibb
呆,dic
呆,dicc
嗒,die
嗒,diej
叮,dif
嘟,dif
喋,dif
喋,difc
叮,diff
嘟,difv
踱,dih
踮,dih
嘀,dih
嘀,dihf
嘀,dihi
踱,dihl
踮,dihy
蹬,dil
噔,dil
噔,dild
蹬,dild
蹲,dim
蹈,dim
嗲,dim
蹲,dimf
啖,dimm
蹈,dimr
嗲,dimw
叨,din
啶,din
啶,dinf
叨,dinn
吊,dio
吊,dioi
吨,dis
吨,disc
跌,dit
跌,ditk
咄,div
咄,divi
跺,diw
咚,diw
跺,diwc
咚,diwn
哆,diww
叨,diz
叨,dizz
但,dj
代,dj
低,dj
当,djb
当,djbd
仃,djf
仃,djff
傣,djg
傣,djgd
袋,djh
袋,djhw
党,dji
贷,djo
黛,djo
岱,djo
佃,djod
侗,djod
侗,djoi
岱,djoi
贷,djoj
贷,djok
黛,djom
但,djr
但,djrd
倒,djs
代,djs
代,djsk
倒,djsu
低,djw
儋,djw
党,djw
儋,djwh
低,djwk
党,djww
得,dk
德,dk
抵,dk
搭,dke
搭,dkej
打,dkf
德,dkf
打,dkff
德,dkfl
掂,dkh
掂,dkhy
挡,dkj
挡,dkjd
掇,dkl
掇,dkll
掸,dkm
掸,dkmo
抖,dkn
抖,dkni
担,dkr
提,dkr
得,dkr
担,dkrd
提,dkrf
得,dkrg
待,dku
垫,dku
待,dkuf
垫,dkuu
捣,dkw
抵,dkw
抵,dkwk
捣,dkwo
掉,dky
掉,dkyr
对,dl
谍,dl
怠,dl
登,dld
登,dldd
登,dldi
褡,dle
褡,dlej
读,dlf
谍,dlf
订,dlf
谍,dlfc
订,dlff
对,dlfk
读,dlfn
祷,dlg
祷,dlgf
谛,dlh
谛,dlho
裆,dlj
翟,dlj
谠,dlj
裆,dljd
谠,dljw
叠,dll
怠,dll
裰,dll
怠,dllk
怼,dllk
