a1	阿啊呵腌吖锕
cheng2	成城程承诚盛乘呈惩澄橙丞埕枨塍铖裎酲
cheng3	逞骋裎
cheng4	称秤
cheng5	
chi1	吃痴哧嗤蚩笞鸱媸螭眵魑
chi2	持迟池驰匙弛踟墀茌篪坻
chi3	尺齿耻侈褫豉
chi4	赤斥翅啻炽敕叱饬傺彳瘛
chi5	
chong1	冲充涌憧忡艟舂茺
chong2	种重崇虫
chong3	宠
chong4	冲铳
chong5	
chou1	抽瘳
chou2	愁仇筹酬绸踌惆畴稠帱俦雠
chou3	丑瞅
chou4	臭
chou5	
chu1	出初樗
chu2	除厨躇橱雏锄蜍刍滁蹰
chu3	处楚储础杵褚楮
chu4	处触畜矗怵搐绌黜亍憷
chu5	
chuai1	揣搋
chuai2	
chuai3	揣
chuai4	揣啜踹嘬膪
chuai5	
chuan1	穿川巛氚
chuan2	传船遄椽舡
chuan3	喘舛
chuan4	串钏
chuan5	
chuang1	创窗疮
chuang2	床幢
chuang3	闯
chuang4	创怆
chuang5	
chui1	吹炊
chui2	垂锤捶陲椎槌棰
chui3	
chui4	
chui5	
chun1	春椿蝽
chun2	纯唇醇淳鹑莼
chun3	蠢
chun4	
chun5	
chuo1	戳踔
chuo2	
chuo3	
chuo4	绰啜辍龊
chuo5	
ci1	差刺疵呲
ci2	词辞慈磁瓷兹茨雌祠茈鹚糍
ci3	此
ci4	次刺赐伺
ci5	
cong1	从匆聪葱囱苁骢璁枞
cong2	从丛琮淙
cong3	
cong4	
cong5	
cou1	
cou2	
cou3	
cou4	凑楱辏腠
cou5	
cu1	粗
cu2	徂殂
cu3	
cu4	促簇醋卒猝蹴蹙蔟酢
cu5	
cuan1	蹿撺汆镩
cuan2	攒
cuan3	
cuan4	窜篡爨
cuan5	
cui1	衰催摧崔隹榱
cui2	
cui3	璀
cui4	脆粹萃翠瘁悴淬毳啐
cui5	
cun1	村皴
cun2	存蹲
cun3	忖
cun4	寸
cun5	
cuo1	搓撮磋蹉
cuo2	嵯矬痤瘥鹾
cuo3	撮脞
cuo4	错措挫厝锉
cuo5	
da1	答搭嗒耷褡哒
da2	打达答瘩沓鞑怛笪靼妲
da3	打
da4	大
da5	塔疸
dai1	待呆呔
dai2	
dai3	逮歹傣
dai4	大代带待戴袋贷逮殆黛怠玳岱迨骀绐埭甙
dai5	
dan1	单担丹耽眈殚箪儋瘅聃郸
dan2	
dan3	担胆掸赕疸瘅
dan4	但担石弹淡旦蛋诞惮啖澹氮萏瘅
dan5	
dang1	当裆铛
dang2	
dang3	党挡谠
dang4	当荡档挡宕菪凼砀
dang5	
dao1	刀叨忉氘
dao2	叨
dao3	导倒岛蹈捣祷
dao4	到道倒悼盗稻焘帱纛
dao5	
de1	
de2	得德锝
de3	
de4	
de5	的地得底
dei1	
dei2	
dei3	得
dei4	
dei5	
deng1	登灯蹬噔簦
deng2	
deng3	等戥
deng4	邓凳瞪澄蹬磴镫嶝
deng5	
di1	提低滴堤嘀氐镝羝
di2	的敌迪笛涤嘀狄嫡翟荻籴觌镝
di3	底抵诋邸砥坻柢氐骶
di4	的地第帝弟递蒂缔谛睇棣娣碲绨
di5	
dia1	
dia2	
dia3	嗲
dia4	
dia5	
dian1	颠滇掂癫巅
dian2	
dian3	点典碘踮丶
dian4	电店甸淀垫殿奠惦佃玷簟坫靛钿癜阽
dian5	
diao1	雕刁凋叼貂碉鲷
diao2	
diao3	鸟
diao4	调掉吊钓铫铞
diao5	
die1	爹跌踮
die2	叠迭碟谍蝶喋佚牒耋蹀堞瓞揲垤鲽
die3	
die4	
die5	
ding1	丁盯钉叮町酊疔仃耵玎
ding2	
ding3	顶鼎酊
ding4	定订钉铤腚锭碇啶
ding5	
diu1	丢铥
diu2	
diu3	
diu4	
diu5	
dong1	东冬咚岽氡鸫
dong2	
dong3	懂董硐
dong4	动洞冻栋恫侗垌峒胨胴硐
dong5	
dou1	都兜蔸篼
dou2	
dou3	斗抖陡蚪
dou4	读斗豆逗窦痘
dou5	
du1	都督嘟
du2	读独顿毒渎牍犊黩髑椟
du3	肚睹堵赌笃
du4	度渡肚杜妒镀芏蠹
du5	
duan1	端
duan2	
duan3	短
duan4	断段锻缎煅椴簖
duan5	
dui1	堆
dui2	
dui3	
dui4	对队兑敦碓憝怼镦
dui5	
dun1	吨敦蹲墩礅镦
dun2	
dun3	盹趸
dun4	顿盾钝炖遁沌囤砘
dun5	
duo1	多咄哆掇裰
duo2	度夺踱铎
duo3	朵躲垛哚缍
duo4	舵堕跺剁惰垛驮沲柁
duo5	
e1	阿婀屙
e2	额俄哦鹅娥峨蛾讹莪锇
e3	恶
e4	恶饿扼愕遏噩呃厄鄂轭颚鳄谔锷萼腭垩鹗苊阏
e5	呃
ei1	
ei2	诶
ei3	诶
ei4	诶
ei5	
en1	恩蒽
en2	
en3	
en4	摁
en5	
er1	
er2	而儿鸸鲕
er3	尔耳迩饵洱珥铒
er4	二贰佴
er5	
fa1	发
fa2	罚乏伐阀筏垡
fa3	法砝
fa4	发珐
fa5	
fan1	翻番帆藩幡蕃
fan2	凡烦繁泛樊蕃燔矾蘩钒蹯
fan3	反返
fan4	饭犯范贩泛梵畈
fan5	
fang1	方芳妨坊邡枋钫
fang2	房防妨坊肪鲂
fang3	访仿纺彷舫
fang4	放
fang5	
fei1	非飞啡菲扉霏妃绯蜚鲱
fei2	肥腓淝
fei3	菲匪诽斐蜚翡悱篚榧
fei4	费废沸肺吠痱狒镄芾
fei5	
fen1	分纷氛芬吩酚玢
fen2	坟焚汾棼鼢
fen3	粉
fen4	分份奋愤粪忿偾瀵鲼
fen5	
feng1	风封丰峰疯锋蜂枫烽酆葑沣砜
feng2	逢缝冯
feng3	讽唪
feng4	奉缝凤俸葑
feng5	
fo1	
fo2	佛
fo3	
fo4	
fo5	
fou1	
fou2	
fou3	否缶
fou4	
fou5	
fu1	夫肤敷孵呋稃麸趺跗
fu2	夫服福佛幅伏符浮扶弗拂袱俘芙孚匐辐涪氟桴蜉苻茯莩菔
fu2	幞怫艴郛绂绋凫祓砩黻罘稃蚨芾蝠
fu3	府父腐抚辅甫俯斧脯釜腑拊滏黼
fu4	服复父负副富付妇附赴腹覆赋傅缚咐阜讣驸赙馥蝮鲋鳆
fu5	咐
ga1	夹咖嘎胳伽旮
ga2	嘎噶轧尜钆
ga3	嘎尕
ga4	尬
ga5	
gai1	该赅垓陔
gai2	
gai3	改
gai4	概盖丐钙芥溉戤
gai5	
gan1	干甘肝杆尴乾竿坩苷柑泔矸疳酐
gan2	
gan3	感敢赶杆橄秆擀澉
gan4	干赣淦绀旰
gan5	
gang1	刚钢纲缸扛杠冈肛罡
gang2	
gang3	港岗
gang4	钢杠戆筻
gang5	
gao1	高糕膏皋羔睾篙槔
gao2	
gao3	稿搞藁槁缟镐杲
gao4	告膏诰郜锆
gao5	
ge1	歌格哥戈割胳搁疙咯鸽屹仡圪纥袼
ge2	革格隔葛阁胳搁蛤嗝骼颌搿膈镉塥鬲
ge3	个各合盖葛哿舸
ge4	个各铬硌虼
ge5	
gei1	
gei2	
gei3	给
gei4	
gei5	
gen1	根跟
gen2	哏
gen3	艮
gen4	亘艮茛
gen5	
geng1	更耕庚羹赓
geng2	
geng3	耿颈梗哽鲠埂绠
geng4	更
geng5	
gong1	工公共红供功攻宫恭躬龚弓肱蚣觥
gong2	
gong3	巩拱汞珙
gong4	共供贡
gong5	
gou1	句沟勾钩篝佝枸缑鞲
gou2	
gou3	狗苟岣枸笱
gou4	够购构勾觏垢诟媾遘彀
gou5	
gu1	姑骨孤估辜咕呱箍沽菇轱鸪毂菰蛄酤觚
gu2	骨
gu3	古股鼓骨谷贾汩蛊毂鹄牯臌诂瞽罟钴嘏蛄鹘
gu4	故顾固估雇锢梏牿崮痼鲴
gu5	
gua1	括瓜刮呱栝胍鸹
gua2	
gua3	寡呱剐
gua4	挂褂卦诖
gua5	
guai1	乖掴
guai2	
guai3	拐
guai4	怪
guai5	
guan1	关观官冠棺矜莞倌纶鳏
guan2	
guan3	管馆莞
guan4	观惯冠贯罐灌掼盥涫鹳
guan5	
guang1	光咣胱桄
guang2	
guang3	广犷
guang4	逛桄
guang5	
gui1	规归瑰龟硅闺皈傀圭妫鲑
gui2	
gui3	鬼轨诡癸匦庋宄晷簋
gui4	贵桂跪柜刽炔刿桧炅鳜
gui5	
gun1	
gun2	
gun3	滚鲧衮绲磙辊
gun4	棍
gun5	
guo1	过锅郭涡聒蝈崞埚呙
guo2	国帼掴馘虢
guo3	果裹猓椁蜾
guo4	过
guo5	
ha1	哈铪
ha2	虾蛤
ha3	哈
ha4	哈
ha5	
hai1	嘿咳嗨
hai2	还孩骸
hai3	海胲醢
hai4	害亥骇氦
hai5	
han1	酣憨顸鼾蚶
han2	含寒汗韩涵函晗焓邯邗
han3	喊罕阚
han4	汉汗憾翰撼旱捍悍瀚焊颔菡撖
han5	
hang1	夯
hang2	行航吭杭绗珩颃
hang3	
hang4	行巷沆
hang5	
hao1	蒿薅嚆
hao2	号毫豪嚎壕貉嗥濠蚝
hao3	好郝
hao4	好号浩耗皓昊灏镐颢
hao5	
he1	喝呵诃嗬
he2	和何合河核盒禾荷阂涸阖貉曷颌劾菏盍纥蚵翮
he3	
he4	和何喝赫吓贺荷鹤壑褐
he5	
hei1	黑嘿嗨
hei2	
hei3	
hei4	
hei5	
hen1	
hen2	痕
hen3	很狠
hen4	恨
hen5	
heng1	哼亨
heng2	行横衡恒蘅珩桁
heng3	
heng4	横
heng5	
hng1	
hng2	
hng3	
hng4	
hng5	哼
hong1	轰哄烘薨訇
hong2	红洪鸿宏虹弘泓闳蕻黉荭
hong3	哄
hong4	哄讧蕻
hong5	
hou1	
hou2	侯喉猴瘊篌糇骺
hou3	吼
hou4	后候後厚侯逅堠鲎
hou5	
hu1	乎呼戏忽糊惚唿滹轷烀
hu2	和胡湖糊核壶狐葫弧蝴囫瑚斛鹄醐猢槲鹕觳煳鹘
hu3	虎浒唬琥
hu4	护户互糊虎沪祜扈戽笏岵怙瓠鹱冱
hu5	
hua1	华化花哗砉
hua2	华划滑哗豁猾骅铧
hua3	
hua4	话华化划画桦
hua5	
huai1	
huai2	怀徊淮槐踝
huai3	
huai4	坏
huai5	划
huan1	欢獾
huan2	还环寰鬟桓圜洹郇缳锾萑
huan3	缓
huan4	换患幻唤宦焕痪涣浣奂擐豢漶逭鲩
huan5	
huang1	荒慌肓
huang2	黄皇煌惶徨璜簧凰潢蝗蟥遑隍磺癀湟篁鳇
huang3	晃恍谎幌
huang4	晃
huang5	
hui1	挥辉灰恢徽堕诙晖麾珲咴虺隳
hui2	回徊蛔茴洄
hui3	毁悔虺
hui4	会汇惠慧溃绘讳贿晦秽诲彗烩荟卉喙恚浍哕缋桧蕙蟪
hui5	
hun1	婚昏荤阍
hun2	混魂浑馄珲
hun3	
hun4	混诨溷
hun5	
huo1	豁劐攉锪耠
huo2	和活
huo3	火伙夥钬
huo4	和或获货祸惑霍豁藿嚯镬蠖
huo5	
ji1	其几期机基击奇激积鸡迹绩饥缉圾姬矶肌讥叽稽畸跻羁嵇
ji1	唧畿齑箕屐剞玑赍犄墼芨丌咭笄乩
ji2	革及即辑级极集急籍吉疾嫉藉脊棘汲岌笈瘠诘亟楫蒺殛佶
ji2	戢嵴蕺
ji3	几给己革济纪挤脊戟虮掎麂
ji4	记系计济寄际技纪继既齐季寂祭忌剂冀妓骥蓟悸伎暨霁稷
ji4	偈鲫髻觊荠跽哜鲚洎芰
ji5	
jia1	家加佳夹嘉茄挟枷珈迦伽浃痂笳葭镓袈跏
jia2	夹颊戛荚郏恝铗袷蛱
jia3	假角脚甲搅贾缴绞饺矫佼狡剿侥皎胛铰挢岬徼湫敫钾嘏瘕
jia4	价假架驾嫁稼
jia5	家
jian1	间坚监渐兼艰肩浅尖奸溅煎歼缄笺菅蒹搛湔缣戋犍鹣鲣鞯
jian2	
jian3	简减检剪捡拣俭碱茧柬蹇謇硷睑锏枧戬谫囝裥笕翦趼
jian4	见间件建监渐健剑键荐鉴践舰箭贱溅槛谏僭涧饯毽锏楗腱
jian4	牮踺
jian5	
jiang1	将江疆姜浆僵缰茳礓豇
jiang2	
jiang3	讲奖蒋桨耩
jiang4	将强降酱浆虹匠犟绛洚糨
jiang5	
jiao1	教交焦骄郊胶椒娇浇姣跤蕉礁鲛僬鹪蛟艽茭
jiao2	嚼矫峤
jiao3	角脚搅缴绞饺矫佼狡剿侥皎挢徼湫敫铰
jiao4	教觉校叫较轿嚼窖酵噍峤徼醮
jiao5	
jie1	接结节街阶皆揭楷嗟秸疖喈
jie2	结节杰捷截洁劫竭睫桔拮孑诘桀碣偈颉讦婕羯鲒
jie3	解姐
jie4	界解价介借戒届藉诫芥疥蚧骱
jie5	家价
jin1	今金禁津斤筋巾襟矜衿
jin2	
jin3	尽仅紧谨锦瑾馑卺廑堇槿
jin4	进近尽仅禁劲晋浸靳缙烬噤觐荩赆妗
jin5	
jing1	经京精惊睛晶荆兢鲸泾旌茎腈菁粳
jing2	
jing3	警景井颈憬阱儆刭肼
jing4	经境竟静敬镜劲竞净径靖痉迳胫弪婧獍靓
jing5	
jiong1	扃
jiong2	
jiong3	窘炯迥炅
jiong4	
jiong5	
jiu1	究纠揪鸠赳啾阄鬏
jiu2	
jiu3	九酒久韭灸玖
jiu4	就旧救疚舅咎臼鹫僦厩桕柩
jiu5	
ju1	车据且居俱拘驹鞠锯趄掬疽裾苴椐锔狙琚雎鞫
ju2	局菊桔橘锔
ju3	举柜矩咀沮踽龃榉莒枸
ju4	据句具剧巨聚拒距俱惧沮瞿锯炬趄飓踞遽倨钜犋屦榘窭讵
ju4	醵苣
ju5	
juan1	捐圈娟鹃涓镌蠲
juan2	
juan3	卷锩
juan4	圈卷俊倦眷隽绢狷桊鄄
juan5	
jue1	嗟撅噘
jue2	觉绝决角脚嚼掘诀崛爵抉倔獗厥蹶攫谲矍孓橛噱珏桷劂爝
jue2	镢蕨觖
jue3	蹶
jue4	倔
jue5	
jun1	军均君钧筠龟菌皲麇
jun2	
jun3	
jun4	俊峻隽菌郡骏竣捃浚
jun5	
ka1	咖喀咔
ka2	
ka3	卡咯咔佧胩
ka4	
ka5	
kai1	开揩锎
kai2	
kai3	慨凯铠楷恺蒈剀垲锴
kai4	忾
kai5	
kan1	看刊堪勘龛戡
kan2	
kan3	侃砍坎槛阚莰
kan4	看嵌瞰阚
kan5	
kang1	康慷糠闶
kang2	扛
kang3	
kang4	抗炕亢伉闶钪
kang5	
kao1	尻
kao2	
kao3	考烤拷栲
kao4	靠铐犒
kao5	
ke1	科颗柯呵棵苛磕坷嗑瞌轲稞疴蝌钶窠颏珂髁
ke2	咳壳颏
ke3	可渴坷轲岢
ke4	可克客刻课恪嗑溘骒缂氪锞蚵
ke5	
ken1	
ken2	
ken3	肯恳啃垦龈
ken4	裉
ken5	
keng1	坑吭铿
keng2	
keng3	
keng4	
keng5	
kong1	空倥崆箜
kong2	
kong3	恐孔倥
kong4	空控
kong5	
kou1	抠芤眍
kou2	
kou3	口
kou4	扣寇叩蔻筘
kou5	
ku1	哭枯窟骷刳堀
ku2	
ku3	苦
ku4	库裤酷喾绔
ku5	
kua1	夸
kua2	
kua3	垮侉
kua4	跨挎胯
kua5	
kuai1	
kuai2	
kuai3	蒯
kuai4	会快块筷脍哙侩狯浍郐
kuai5	
kuan1	宽髋
kuan2	
kuan3	款
kuan4	
kuan5	
kuang1	框筐匡哐诓
kuang2	狂诳
kuang3	夼
kuang4	况矿框旷眶邝圹纩贶
kuang5	
kui1	亏窥盔岿悝
kui2	魁睽逵葵奎馗夔喹隗暌揆蝰
kui3	傀跬
kui4	愧溃馈匮喟聩篑蒉愦
kui5	
kun1	昆坤鲲锟醌琨髡
kun2	
kun3	捆悃阃
kun4	困
kun5	
kuo1	
kuo2	
kuo3	
kuo4	括适阔扩廓栝蛞
kuo5	
la1	拉啦喇垃邋
la2	拉喇旯砬
la3	拉喇
la4	落拉辣腊蜡剌瘌
la5	蓝啦
lai1	
lai2	来莱徕涞崃铼
lai3	
lai4	赖睐癞籁赉濑
lai5	
lan1	
lan2	兰蓝栏拦篮澜婪岚斓阑褴镧谰
lan3	懒览揽榄缆漤罱
lan4	烂滥
lan5	
lang1	啷
lang2	狼郎廊琅螂榔锒稂阆
lang3	朗
lang4	浪郎莨蒗阆
lang5	
lao1	捞
lao2	劳牢唠崂铹痨醪
lao3	老姥佬潦栳铑
lao4	落络唠烙酪涝耢
lao5	
le1	肋
le2	
le3	
le4	乐勒仂叻泐鳓
le5	了
lei1	勒擂
lei2	累雷擂羸镭嫘缧檑
lei3	累蕾垒磊儡诔耒
lei4	类泪累擂肋酹
lei5	嘞
leng1	棱
leng2	楞棱塄
leng3	冷
leng4	愣
leng5	
li1	哩
li2	离丽黎璃漓狸梨篱犁厘罹藜骊蜊黧缡喱鹂嫠蠡鲡蓠
li3	里理李礼哩鲤俚逦娌悝澧锂蠡醴鳢
li4	力利立历例丽励厉莉笠粒俐栗隶吏沥雳莅戾俪砺痢郦詈荔
li4	枥呖唳猁溧砾栎轹傈坜苈疠疬蛎鬲篥粝跞藓
li5	璃哩
lia1	
lia2	
lia3	俩
lia4	
lia5	
lian1	
lian2	联连怜莲廉帘涟镰裢濂臁奁蠊鲢
lian3	脸敛琏蔹裣
lian4	练恋炼链殓楝潋
lian5	
liang1	
liang2	量良梁凉粮粱踉莨椋墚
liang3	两俩魉
liang4	量亮辆凉谅晾踉靓
liang5	
liao1	撩撂
liao2	聊疗辽僚寥撩撂缭寮燎嘹獠鹩
liao3	了潦燎蓼钌
liao4	了料廖镣撩撂尥钌
liao5	
lie1	咧
lie2	
lie3	裂咧
lie4	列烈裂劣猎趔冽洌捩埒躐鬣
lie5	咧
lin1	
lin2	林临秘邻琳淋霖麟鳞磷嶙辚粼遴啉瞵
lin3	凛懔檩廪
lin4	淋吝躏赁蔺膦
lin5	
ling1	拎
ling2	令灵零龄凌玲铃陵伶聆囹棱菱苓翎棂瓴绫酃泠羚蛉柃鲮
ling3	领令岭
ling4	令另呤
ling5	
liu1	溜熘
liu2	留流刘瘤榴浏硫琉遛馏镏旒骝鎏
liu3	柳绺锍
liu4	六陆溜碌遛馏镏鹨
liu5	
lo1	
lo2	
lo3	
lo4	
lo5	咯
long1	隆
long2	龙隆笼胧咙聋珑窿茏栊泷砻癃
long3	笼拢垄陇垅
long4	弄
long5	
lou1	搂
lou2	楼喽偻娄髅蝼蒌耧
lou3	搂篓嵝
lou4	露陋漏镂瘘
lou5	喽
lu1	噜撸
lu2	卢炉庐芦颅泸轳鲈垆胪鸬舻栌
lu3	鲁芦卤虏掳橹镥
lu4	六路陆录露绿鹿碌禄辘麓赂漉戮簏鹭潞璐辂渌蓼逯
lu5	轳氇
lu:1	
lu:2	
lu:3	旅履屡侣缕吕捋铝偻褛膂稆
lu:4	律绿率虑滤氯
lu:5	驴榈闾
luan1	
luan2	峦挛孪栾銮滦鸾娈脔
luan3	卵
luan4	乱
luan5	
lue:1	
lue:2	
lue:3	掠
lue:4	略掠锊
lue:5	
lun1	抡
lun2	论轮伦沦仑抡囵纶
lun3	
lun4	论
lun5	
luo1	落罗捋
luo2	罗逻萝螺锣箩骡猡椤脶镙
luo3	裸倮蠃瘰
luo4	落络洛骆咯摞烙珞泺漯荦硌雒
luo5	罗
m1	
m2	呒
m3	
m4	
m5	
ma1	妈麻摩抹蚂嬷
ma2	吗麻蟆
ma3	马吗码玛蚂犸
ma4	骂蚂唛杩
ma5	么吗嘛
mai1	
mai2	埋霾
mai3	买荬
mai4	卖麦迈脉劢
mai5	
man1	颟
man2	埋蛮馒瞒蔓谩鳗鞔
man3	满螨
man4	慢漫曼蔓谩墁幔缦熳镘
man5	
mang1	
mang2	忙茫盲芒氓邙硭
mang3	莽蟒漭
mang4	
mang5	
mao1	猫
mao2	毛猫矛茅髦锚牦旄蝥蟊茆
mao3	卯铆峁泖昴
mao4	冒贸帽貌茂耄瑁懋袤瞀
mao5	
me1	
me2	
me3	
me4	
me5	么麽
mei1	
mei2	没眉梅媒枚煤霉玫糜酶莓嵋湄楣猸镅鹛
mei3	美每镁浼
mei4	妹魅昧谜媚寐袂
mei5	
men1	闷
men2	门扪钔
men3	
men4	闷懑焖
men5	们
meng1	蒙
meng2	蒙盟朦氓萌檬瞢甍礞虻艨
meng3	蒙猛勐懵蠓蜢锰艋
meng4	梦孟
meng5	
mi1	眯咪
mi2	迷弥谜靡糜醚麋猕祢縻蘼
mi3	米眯靡弭敉脒芈
mi4	密秘觅蜜谧泌汨宓幂嘧糸
mi5	
mian1	
mian2	棉眠绵
mian3	免缅勉腼冕娩渑湎沔眄黾
mian4	面
mian5	
miao1	喵
miao2	描苗瞄鹋
miao3	秒渺藐缈淼杪邈眇
miao4	妙庙缪
miao5	
mie1	乜咩
mie2	
mie3	
mie4	灭蔑篾蠛
mie5	
min1	
min2	民珉岷缗玟苠
min3	敏悯闽泯皿抿闵愍黾鳘
min4	
min5	
ming1	
ming2	名明鸣盟铭冥茗溟瞑暝螟
ming3	酩
ming4	命
ming5	
miu1	
miu2	
miu3	
miu4	谬缪
miu5	
mo1	摸
mo2	无模麽磨摸摩魔膜蘑馍摹谟嫫
mo3	抹
mo4	没万默莫末冒磨寞漠墨抹陌脉嘿沫蓦茉貉秣镆殁瘼耱貊貘
mo5	
mou1	哞
mou2	谋牟眸缪鍪蛑侔
mou3	某
mou4	
mou5	
mu1	
mu2	模毪
mu3	母姆姥亩拇牡
mu4	目木幕慕牧墓募暮牟穆睦沐坶苜仫钼
mu5	
n1	
n2	嗯唔
n3	嗯唔
n4	嗯
n5	
na1	那南
na2	拿镎
na3	那哪
na4	那呢纳娜呐捺钠肭衲
na5	哪呐
nai1	
nai2	
nai3	哪乃奶氖艿
nai4	奈耐鼐佴萘柰
nai5	
nan1	囝囡
nan2	难南男楠喃
nan3	腩蝻赧
nan4	难
nan5	
nang1	囊囔
nang2	囊馕
nang3	馕攮曩
nang4	
nang5	
nao1	孬
nao2	努挠呶猱铙硇蛲
nao3	脑恼瑙垴
nao4	闹淖
nao5	
ne1	
ne2	哪
ne3	
ne4	呢呐讷
ne5	呢呐
nei1	
nei2	
nei3	哪馁
nei4	那内
nei5	
nen1	
nen2	
nen3	
nen4	嫩恁
nen5	
neng1	
neng2	能
neng3	
neng4	
neng5	
ng1	
ng2	嗯唔
ng3	嗯唔
ng4	嗯
ng5	
ni1	妮
ni2	呢尼泥倪霓坭猊怩铌鲵
ni3	你拟旎祢
ni4	泥尿逆匿腻昵溺睨慝伲
ni5	
nian1	蔫拈
nian2	年粘黏鲇鲶
nian3	碾捻撵辇
nian4	念廿酿埝
nian5	
niang1	
niang2	娘酿
niang3	
niang4	酿
niang5	
niao1	
niao2	
niao3	鸟袅嬲茑
niao4	尿溺脲
niao5	
nie1	捏
nie2	
nie3	
nie4	涅聂孽蹑嗫啮镊镍乜陧颞臬蘖
nie5	
nin1	
nin2	您恁
nin3	
nin4	
nin5	
ning1	
ning2	宁凝拧咛狞柠苎甯聍
ning3	拧
ning4	宁拧泞佞
ning5	
niu1	妞
niu2	牛
niu3	纽扭钮狃忸
niu4	拗
niu5	
nong1	
nong2	农浓侬哝脓
nong3	
nong4	弄
nong5	
nou1	
nou2	
nou3	
nou4	耨
nou5	
nu1	
nu2	奴孥驽
nu3	努弩胬
nu4	怒
nu5	
